ALG	DATA SET	PLEN	AVG T	STDEV T	T ERR	T CONF INT	AVG C	STDEV C	C ERR	C CONF INT
BMH	RLNG.txt	8	0.002673	0.000534	0.000331	[0.002342 to 0.003004]	186223.000000	23531.866862	14585.202188	[171637.797812 to 200808.202188]
BMH	RLNG.txt	16	0.001728	0.000195	0.000121	[0.001607 to 0.001849]	117679.000000	9308.370642	5769.387896	[111909.612104 to 123448.387896]
BMH	RLNG.txt	32	0.001286	0.000214	0.000132	[0.001154 to 0.001419]	86321.000000	9512.871806	5896.139031	[80424.860969 to 92217.139031]
BMH	RLNG.txt	64	0.000994	0.000246	0.000153	[0.000841 to 0.001147]	66862.000000	13556.708966	8402.535270	[58459.464730 to 75264.535270]
BMH	RLNG.txt	128	0.000829	0.000161	0.000100	[0.000729 to 0.000929]	54685.000000	8524.464030	5283.517545	[49401.482455 to 59968.517545]
BMH	SDNA.txt	4	0.008332	0.000758	0.000470	[0.007863 to 0.008802]	507603.000000	46985.136469	29121.689293	[478481.310707 to 536724.689293]
BMH	SDNA.txt	8	0.006951	0.001645	0.001020	[0.005931 to 0.007970]	427878.000000	99847.947680	61886.399135	[365991.600865 to 489764.399135]
BMH	SDNA.txt	16	0.006216	0.001221	0.000757	[0.005459 to 0.006972]	383139.000000	75683.211177	46908.940279	[336230.059721 to 430047.940279]
BMH	SDNA.txt	32	0.006899	0.001847	0.001145	[0.005754 to 0.008044]	419422.000000	111852.943569	69327.172676	[350094.827324 to 488749.172676]
BMH	SDNA.txt	64	0.006129	0.001616	0.001002	[0.005128 to 0.007131]	376201.000000	99369.185923	61589.659524	[314611.340476 to 437790.659524]
BMH	SDNA.txt	128	0.006892	0.001389	0.000861	[0.006032 to 0.007753]	420089.000000	84527.094437	52390.435914	[367698.564086 to 472479.435914]
BMH	SLNG.txt	4	0.004455	0.000380	0.000236	[0.004219 to 0.004691]	316868.000000	18315.438624	11352.026470	[305515.973530 to 328220.026470]
BMH	SLNG.txt	8	0.003178	0.000493	0.000306	[0.002872 to 0.003484]	205548.000000	25800.070310	15991.049251	[189556.950749 to 221539.049251]
BMH	SLNG.txt	16	0.001743	0.000187	0.000116	[0.001627 to 0.001859]	120750.000000	8274.587603	5128.642531	[115621.357469 to 125878.642531]
BMH	SLNG.txt	32	0.001144	0.000278	0.000173	[0.000972 to 0.001317]	77953.000000	12637.505806	7832.807249	[70120.192751 to 85785.807249]
BMH	SLNG.txt	64	0.000850	0.000113	0.000070	[0.000780 to 0.000920]	58072.000000	5424.174223	3361.938014	[54710.061986 to 61433.938014]
BMH	SLNG.txt	128	0.000814	0.000067	0.000042	[0.000772 to 0.000856]	54908.000000	4911.401633	3044.118270	[51863.881730 to 57952.118270]
KMP	BINA.txt	4	0.023343	0.001439	0.000892	[0.022450 to 0.024235]	1830982.000000	151471.925537	93883.272109	[1737098.727891 to 1924865.272109]
KMP	BINA.txt	8	0.023220	0.001349	0.000836	[0.022384 to 0.024056]	1813066.000000	149525.202407	92676.680612	[1720389.319388 to 1905742.680612]
KMP	BINA.txt	16	0.022132	0.001071	0.000664	[0.021469 to 0.022796]	1705650.000000	123333.182441	76442.698448	[1629207.301552 to 1782092.698448]
KMP	BINA.txt	32	0.022609	0.001483	0.000919	[0.021690 to 0.023528]	1740637.000000	146035.753564	90513.897812	[1650123.102188 to 1831150.897812]
KMP	BINA.txt	64	0.021748	0.001246	0.000772	[0.020976 to 0.022520]	1663430.000000	131667.850704	81608.579357	[1581821.420643 to 1745038.579357]
KMP	BINA.txt	128	0.021891	0.001348	0.000836	[0.021055 to 0.022727]	1666938.000000	120207.969703	74505.671524	[1592432.328476 to 1741443.671524]
KMP	RDNA.txt	4	0.017377	0.000758	0.000470	[0.016907 to 0.017847]	1325033.000000	26177.711302	16225.113562	[1308807.886438 to 1341258.113562]
KMP	RDNA.txt	8	0.016688	0.001157	0.000717	[0.015971 to 0.017404]	1291793.000000	46393.908846	28755.242616	[1263037.757384 to 1320548.242616]
KMP	RDNA.txt	16	0.017142	0.000895	0.000554	[0.016587 to 0.017696]	1310384.000000	35235.255342	21839.037520	[1288544.962480 to 1332223.037520]
KMP	RDNA.txt	32	0.017345	0.001047	0.000649	[0.016696 to 0.017994]	1319487.000000	41511.501804	25729.095380	[1293757.904620 to 1345216.095380]
KMP	RDNA.txt	64	0.017333	0.001050	0.000651	[0.016682 to 0.017984]	1316678.000000	43589.344753	27016.955782	[1289661.044218 to 1343694.955782]
KMP	RDNA.txt	128	0.017286	0.001038	0.000643	[0.016643 to 0.017929]	1315601.000000	43886.378354	27201.059115	[1288399.940885 to 1342802.059115]
KMP	RLNG.txt	4	0.012222	0.001590	0.000986	[0.011236 to 0.013208]	1113879.000000	72300.874670	44812.546393	[1069066.453607 to 1158691.546393]
KMP	RLNG.txt	8	0.011673	0.001424	0.000882	[0.010791 to 0.012556]	1086688.000000	59332.408395	36774.607720	[1049913.392280 to 1123462.607720]
KMP	RLNG.txt	16	0.011750	0.000830	0.000515	[0.011235 to 0.012265]	1087993.000000	32133.064466	19916.279695	[1068076.720305 to 1107909.279695]
KMP	RLNG.txt	32	0.011556	0.001125	0.000697	[0.010859 to 0.012254]	1082366.000000	47152.741765	29225.572133	[1053140.427867 to 1111591.572133]
KMP	RLNG.txt	64	0.011170	0.000986	0.000611	[0.010559 to 0.011781]	1063950.000000	40148.629516	24884.378384	[1039065.621616 to 1088834.378384]
KMP	RLNG.txt	128	0.010805	0.000686	0.000425	[0.010380 to 0.011230]	1049419.000000	30151.810427	18688.285719	[1030730.714281 to 1068107.285719]
KMP	SDNA.txt	4	0.017436	0.000803	0.000498	[0.016938 to 0.017933]	1318136.000000	28160.039915	17453.773566	[1300682.226434 to 1335589.773566]
KMP	SDNA.txt	8	0.016916	0.000880	0.000545	[0.016370 to 0.017461]	1293747.000000	31079.844305	19263.487076	[1274483.512924 to 1313010.487076]
KMP	SDNA.txt	16	0.017752	0.000244	0.000151	[0.017601 to 0.017903]	1322637.000000	10431.362950	6465.425740	[1316171.574260 to 1329102.425740]
KMP	SDNA.txt	32	0.017869	0.000151	0.000094	[0.017775 to 0.017962]	1328277.000000	6021.206025	3731.982159	[1324545.017841 to 1332008.982159]
KMP	SDNA.txt	64	0.017504	0.000823	0.000510	[0.016994 to 0.018014]	1315361.000000	30075.438900	18640.950156	[1296720.049844 to 1334001.950156]
KMP	SDNA.txt	128	0.017254	0.000777	0.000482	[0.016772 to 0.017735]	1306520.000000	27481.655936	17033.306820	[1289486.693180 to 1323553.306820]
KMP	SLNG.txt	4	0.011699	0.001382	0.000856	[0.010843 to 0.012555]	1089790.000000	60330.555840	37393.265916	[1052396.734084 to 1127183.265916]
KMP	SLNG.txt	8	0.011065	0.001000	0.000620	[0.010445 to 0.011685]	1060839.000000	40657.464825	25199.757776	[1035639.242224 to 1086038.757776]
KMP	SLNG.txt	16	0.012803	0.001645	0.001019	[0.011783 to 0.013822]	1137417.000000	71315.092912	44201.552529	[1093215.447471 to 1181618.552529]
KMP	SLNG.txt	32	0.012096	0.001448	0.000897	[0.011199 to 0.012993]	1106171.000000	62454.404200	38709.640768	[1067461.359232 to 1144880.640768]
KMP	SLNG.txt	64	0.011462	0.001357	0.000841	[0.010621 to 0.012303]	1076671.000000	58449.526876	36227.392085	[1040443.607915 to 1112898.392085]
KMP	SLNG.txt	128	0.011913	0.001382	0.000856	[0.011057 to 0.012769]	1095652.000000	58661.763441	36358.937671	[1059293.062329 to 1132010.937671]
