ALG	DATA SET	PLEN	AVG T	STDEV T	T ERR	T CONF INT	AVG C	STDEV C	C ERR	C CONF INT
BF	SDNA.txt	16	0.018196	0.000443	0.000087	[0.018109 to 0.018283]	1333494.000000	740.102696	145.060128	[1333348.939872 to 1333639.060128]
BF	SDNA.txt	32	0.018333	0.000339	0.000067	[0.018267 to 0.018400]	1333395.000000	764.996078	149.939231	[1333245.060769 to 1333544.939231]
BF	SDNA.txt	64	0.018118	0.000443	0.000087	[0.018031 to 0.018205]	1333295.000000	833.616219	163.388779	[1333131.611221 to 1333458.388779]
BF	SDNA.txt	128	0.018269	0.000401	0.000079	[0.018191 to 0.018348]	1333333.000000	814.130211	159.569521	[1333173.430479 to 1333492.569521]
BF	SLNG.txt	4	0.012741	0.001283	0.000252	[0.012490 to 0.012993]	1090705.000000	55032.469707	10786.364062	[1079918.635938 to 1101491.364062]
BF	SLNG.txt	8	0.012780	0.001400	0.000274	[0.012506 to 0.013054]	1093686.000000	62291.778832	12209.188651	[1081476.811349 to 1105895.188651]
BF	SLNG.txt	16	0.012970	0.001423	0.000279	[0.012691 to 0.013249]	1100918.000000	61783.067413	12109.481213	[1088808.518787 to 1113027.481213]
BF	SLNG.txt	32	0.012492	0.001280	0.000251	[0.012241 to 0.012743]	1080778.000000	55199.823396	10819.165386	[1069958.834614 to 1091597.165386]
BF	SLNG.txt	64	0.012726	0.001301	0.000255	[0.012471 to 0.012981]	1091196.000000	56722.238214	11117.558690	[1080078.441310 to 1102313.558690]
BF	SLNG.txt	128	0.012580	0.001135	0.000223	[0.012357 to 0.012802]	1084214.000000	49402.825820	9682.953861	[1074531.046139 to 1093896.953861]
BMH	BINA.txt	4	0.019238	0.003277	0.000642	[0.018595 to 0.019880]	1161364.000000	206279.283599	40430.739585	[1120933.260415 to 1201794.739585]
BMH	BINA.txt	8	0.020402	0.004319	0.000847	[0.019556 to 0.021249]	1242769.000000	264347.689388	51812.147120	[1190956.852880 to 1294581.147120]
BMH	BINA.txt	16	0.020370	0.004845	0.000950	[0.019420 to 0.021319]	1238095.000000	290288.302201	56896.507231	[1181198.492769 to 1294991.507231]
BMH	BINA.txt	32	0.020599	0.004642	0.000910	[0.019689 to 0.021509]	1254361.000000	279477.746214	54777.638258	[1199583.361742 to 1309138.638258]
BMH	BINA.txt	64	0.020022	0.004736	0.000928	[0.019094 to 0.020950]	1222493.000000	286857.165802	56224.004497	[1166268.995503 to 1278717.004497]
BMH	BINA.txt	128	0.020852	0.004383	0.000859	[0.019993 to 0.021711]	1267775.000000	264677.251208	51876.741237	[1215898.258763 to 1319651.741237]
BMH	RDNA.txt	4	0.008533	0.000718	0.000141	[0.008392 to 0.008673]	530543.000000	43934.742391	8611.209509	[521931.790491 to 539154.209509]
BMH	RDNA.txt	8	0.006459	0.001393	0.000273	[0.006186 to 0.006732]	401050.000000	86777.716644	17008.432462	[384041.567538 to 418058.432462]
BMH	RDNA.txt	16	0.005906	0.001822	0.000357	[0.005549 to 0.006263]	367299.000000	113750.096141	22295.018844	[345003.981156 to 389594.018844]
BMH	RDNA.txt	32	0.005998	0.001742	0.000342	[0.005657 to 0.006340]	372940.000000	108690.465704	21303.331278	[351636.668722 to 394243.331278]
BMH	RDNA.txt	64	0.005861	0.001814	0.000356	[0.005505 to 0.006216]	363431.000000	112704.966661	22090.173466	[341340.826534 to 385521.173466]
BMH	RDNA.txt	128	0.005643	0.001667	0.000327	[0.005316 to 0.005970]	349138.000000	103187.399870	20224.730375	[328913.269625 to 369362.730375]
BMH	RLNG.txt	4	0.004404	0.000638	0.000125	[0.004279 to 0.004529]	310365.000000	29568.954327	5795.515048	[304569.484952 to 316160.515048]
BMH	RLNG.txt	8	0.002552	0.000408	0.000080	[0.002472 to 0.002632]	180393.000000	19402.870922	3802.962701	[176590.037299 to 184195.962701]
BMH	RLNG.txt	16	0.001642	0.000220	0.000043	[0.001599 to 0.001685]	114890.000000	10472.882125	2052.684896	[112837.315104 to 116942.684896]
BMH	RLNG.txt	32	0.001167	0.000237	0.000046	[0.001120 to 0.001213]	80612.000000	12605.199998	2470.619200	[78141.380800 to 83082.619200]
BMH	RLNG.txt	64	0.000897	0.000163	0.000032	[0.000865 to 0.000929]	61437.000000	9375.810685	1837.658894	[59599.341106 to 63274.658894]
BMH	RLNG.txt	128	0.000789	0.000149	0.000029	[0.000760 to 0.000819]	54296.000000	8445.796055	1655.376027	[52640.623973 to 55951.376027]
BMH	SDNA.txt	4	0.008343	0.000689	0.000135	[0.008208 to 0.008478]	511941.000000	41786.164540	8190.088250	[503750.911750 to 520131.088250]
BMH	SDNA.txt	8	0.006796	0.001342	0.000263	[0.006533 to 0.007059]	417411.000000	82229.920023	16117.064325	[401293.935675 to 433528.064325]
BMH	SDNA.txt	16	0.006191	0.001536	0.000301	[0.005890 to 0.006492]	379963.000000	94286.700992	18480.193394	[361482.806606 to 398443.193394]
BMH	SDNA.txt	32	0.006203	0.001662	0.000326	[0.005877 to 0.006528]	381286.000000	101925.585380	19977.414734	[361308.585266 to 401263.414734]
BMH	SDNA.txt	64	0.006012	0.001746	0.000342	[0.005670 to 0.006354]	370016.000000	107641.149543	21097.665310	[348918.334690 to 391113.665310]
BMH	SDNA.txt	128	0.006224	0.001810	0.000355	[0.005870 to 0.006579]	382120.000000	111348.496811	21824.305375	[360295.694625 to 403944.305375]
BMH	SLNG.txt	4	0.004421	0.000521	0.000102	[0.004319 to 0.004523]	311121.000000	22287.330078	4368.316695	[306752.683305 to 315489.316695]
BMH	SLNG.txt	8	0.002565	0.000394	0.000077	[0.002487 to 0.002642]	181685.000000	18254.070779	3577.797873	[178107.202127 to 185262.797873]
BMH	SLNG.txt	16	0.001622	0.000301	0.000059	[0.001563 to 0.001681]	113503.000000	14981.321737	2936.339061	[110566.660939 to 116439.339061]
BMH	SLNG.txt	32	0.001194	0.000250	0.000049	[0.001145 to 0.001244]	81469.000000	12540.910852	2458.018527	[79010.981473 to 83927.018527]
BMH	SLNG.txt	64	0.000924	0.000181	0.000035	[0.000889 to 0.000960]	62813.000000	9312.536604	1825.257174	[60987.742826 to 64638.257174]
BMH	SLNG.txt	128	0.000781	0.000137	0.000027	[0.000754 to 0.000808]	52995.000000	7677.690213	1504.827282	[51490.172718 to 54499.827282]
KMP	BINA.txt	4	0.023894	0.001542	0.000302	[0.023592 to 0.024196]	1871153.000000	149031.153528	29210.106092	[1841942.893908 to 1900363.106092]
KMP	BINA.txt	8	0.022200	0.001381	0.000271	[0.021930 to 0.022471]	1703154.000000	139884.568856	27417.375496	[1675736.624504 to 1730571.375496]
KMP	BINA.txt	16	0.021991	0.001297	0.000254	[0.021736 to 0.022245]	1688430.000000	135231.550878	26505.383972	[1661924.616028 to 1714935.383972]
KMP	BINA.txt	32	0.022230	0.001427	0.000280	[0.021951 to 0.022510]	1716462.000000	147085.580986	28828.773873	[1687633.226127 to 1745290.773873]
KMP	BINA.txt	64	0.021871	0.001343	0.000263	[0.021608 to 0.022134]	1680180.000000	134756.106337	26412.196842	[1653767.803158 to 1706592.196842]
KMP	BINA.txt	128	0.022036	0.001272	0.000249	[0.021786 to 0.022285]	1694429.000000	129484.823767	25379.025458	[1669049.974542 to 1719808.025458]
KMP	RDNA.txt	4	0.017247	0.001039	0.000204	[0.017043 to 0.017451]	1321811.000000	39910.539723	7822.465786	[1313988.534214 to 1329633.465786]
KMP	RDNA.txt	8	0.017211	0.000878	0.000172	[0.017039 to 0.017383]	1313015.000000	34346.325102	6731.879720	[1306283.120280 to 1319746.879720]
KMP	RDNA.txt	16	0.017097	0.000931	0.000182	[0.016915 to 0.017280]	1308227.000000	36800.448652	7212.887936	[1301014.112064 to 1315439.887936]
KMP	RDNA.txt	32	0.017173	0.000989	0.000194	[0.016979 to 0.017367]	1311360.000000	39138.236624	7671.094378	[1303688.905622 to 1319031.094378]
KMP	RDNA.txt	64	0.017215	0.000870	0.000170	[0.017044 to 0.017385]	1313255.000000	34281.161138	6719.107583	[1306535.892417 to 1319974.107583]
KMP	RDNA.txt	128	0.017241	0.000932	0.000183	[0.017059 to 0.017424]	1314785.000000	37184.720410	7288.205200	[1307496.794800 to 1322073.205200]
KMP	RLNG.txt	4	0.011582	0.001329	0.000261	[0.011321 to 0.011842]	1083941.000000	57398.576899	11250.121072	[1072690.878928 to 1095191.121072]
KMP	RLNG.txt	8	0.011468	0.001229	0.000241	[0.011227 to 0.011709]	1078214.000000	51269.126860	10048.748865	[1068165.251135 to 1088262.748865]
KMP	RLNG.txt	16	0.011645	0.001310	0.000257	[0.011388 to 0.011902]	1085971.000000	55323.413534	10843.389053	[1075127.610947 to 1096814.389053]
KMP	RLNG.txt	32	0.011670	0.001294	0.000254	[0.011417 to 0.011924]	1086684.000000	53988.001945	10581.648381	[1076102.351619 to 1097265.648381]
KMP	RLNG.txt	64	0.011613	0.001210	0.000237	[0.011376 to 0.011850]	1083051.000000	51859.899103	10164.540224	[1072886.459776 to 1093215.540224]
KMP	RLNG.txt	128	0.011710	0.001344	0.000263	[0.011446 to 0.011973]	1087529.000000	57336.854291	11238.023441	[1076290.976559 to 1098767.023441]
KMP	SDNA.txt	4	0.017452	0.000843	0.000165	[0.017286 to 0.017617]	1318083.000000	29258.348245	5734.636256	[1312348.363744 to 1323817.636256]
KMP	SDNA.txt	8	0.017365	0.000819	0.000160	[0.017205 to 0.017526]	1310189.000000	29414.698197	5765.280847	[1304423.719153 to 1315954.280847]
KMP	SDNA.txt	16	0.017374	0.000814	0.000160	[0.017215 to 0.017534]	1310121.000000	29246.074403	5732.230583	[1304388.769417 to 1315853.230583]
KMP	SDNA.txt	32	0.017478	0.000748	0.000147	[0.017331 to 0.017624]	1313626.000000	26742.905059	5241.609392	[1308384.390608 to 1318867.609392]
KMP	SDNA.txt	64	0.017300	0.000853	0.000167	[0.017133 to 0.017467]	1308284.000000	30432.192034	5964.709639	[1302319.290361 to 1314248.709639]
KMP	SDNA.txt	128	0.017422	0.000803	0.000157	[0.017265 to 0.017580]	1312862.000000	28938.922544	5672.028819	[1307189.971181 to 1318534.028819]
KMP	SLNG.txt	4	0.011961	0.001404	0.000275	[0.011686 to 0.012236]	1099523.000000	58915.290358	11547.396910	[1087975.603090 to 1111070.396910]
KMP	SLNG.txt	8	0.011622	0.001318	0.000258	[0.011364 to 0.011880]	1085110.000000	55515.792474	10881.095325	[1074228.904675 to 1095991.095325]
KMP	SLNG.txt	16	0.011933	0.001454	0.000285	[0.011648 to 0.012218]	1097917.000000	61791.206632	12111.076500	[1085805.923500 to 1110028.076500]
KMP	SLNG.txt	32	0.011655	0.001292	0.000253	[0.011402 to 0.011908]	1086621.000000	54501.138493	10682.223145	[1075938.776855 to 1097303.223145]
KMP	SLNG.txt	64	0.011860	0.001393	0.000273	[0.011587 to 0.012133]	1093618.000000	60314.201479	11821.583490	[1081796.416510 to 1105439.583490]
KMP	SLNG.txt	128	0.011594	0.001238	0.000243	[0.011351 to 0.011836]	1082642.000000	53990.730075	10582.183095	[1072059.816905 to 1093224.183095]
